datevec,Sea,Temp,IceSAt,IceSAtmas1,IceSAtmas2
1890m3,-138.4,-.36,11945490,12084258,12075899
1890m4,-136.5,-.39,12084258,12075899,11880635
1890m5,-133.7,-.51,12075899,11880635,11874158
1890m6,-138.6,-.4,11880635,11874158,11983203
1890m7,-142.6,-.32,11874158,11983203,11921322
1890m8,-146.2,-.39,11983203,11921322,11963298
1890m9,-147.8,-.43,11921322,11963298,11964545
1890m10,-150.2,-.25,11963298,11964545,11967565
1890m11,-154.3,-.52,11964545,11967565,11965027
1890m12,-162.3,-.36,11967565,11965027,11960920
1891m1,-161.3,-.51,11965027,11960920,12684111
1891m2,-162.3,-.5600000000000001,11960920,12684111,12292271
1891m3,-146.5,-.19,12684111,12292271,12013276
1891m4,-149.2,-.33,12292271,12013276,12123448
1891m5,-143.8,-.23,12013276,12123448,12054763
1891m6,-146.8,-.26,12123448,12054763,11973931
1891m7,-142.2,-.25,12054763,11973931,11908552
1891m8,-140.6,-.21,11973931,11908552,11980626
1891m9,-141.6,-.19,11908552,11980626,11976517
1891m10,-142.9,-.25,11980626,11976517,11975405
1891m11,-146.6,-.4,11976517,11975405,11960454
1891m12,-147.2,-.11,11975405,11960454,11965753
1892m1,-144.2,-.39,11960454,11965753,11921851
1892m2,-137.7,-.13,11965753,11921851,12161120
1892m3,-138.2,-.36,11921851,12161120,12293222
1892m4,-137,-.45,12161120,12293222,12045901
1892m5,-141.5,-.33,12293222,12045901,12219438
1892m6,-140,-.23,12045901,12219438,11977419
1892m7,-144.2,-.33,12219438,11977419,12032652
1892m8,-145,-.29,11977419,12032652,11990786
1892m9,-150.1,-.22,12032652,11990786,11983632
1892m10,-149.9,-.31,11990786,11983632,11979181
1892m11,-154.7,-.54,11983632,11979181,11952354
1892m12,-150.8,-.5,11979181,11952354,11972055
1893m1,-145.9,-.88,11952354,11972055,11876620
1893m2,-142.2,-.61,11972055,11876620,11836865
1893m3,-135.1,-.21,11876620,11836865,12049167
1893m4,-136.3,-.39,11836865,12049167,12188150
1893m5,-137.6,-.41,12049167,12188150,11906718
1893m6,-138.9,-.31,12188150,11906718,12089612
1893m7,-139.1,-.11,11906718,12089612,11929946
1893m8,-137.4,-.27,12089612,11929946,11989743
1893m9,-137.4,-.25,11929946,11989743,11988521
1893m10,-139,-.19,11989743,11988521,11979070
1893m11,-143.5,-.19,11988521,11979070,12082978
1893m12,-144,-.35,11979070,12082978,11970437
1894m1,-146.8,-.53,12082978,11970437,11802611
1894m2,-145.9,-.34,11970437,11802611,11671040
1894m3,-148.3,-.27,11802611,11671040,11691878
1894m4,-147.3,-.46,11671040,11691878,11914818
1894m5,-150.5,-.4,11691878,11914818,11948591
1894m6,-151.1,-.46,11914818,11948591,12251376
1894m7,-152.9,-.23,11948591,12251376,12049667
1894m8,-153.1,-.26,12251376,12049667,11978783
1894m9,-156,-.36,12049667,11978783,11986239
1894m10,-151.7,-.3,11978783,11986239,11972421
1894m11,-149.8,-.41,11986239,11972421,11934234
1894m12,-139.2,-.31,11972421,11934234,11956412
